id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46738210,Newly renovated studio-type room with own entrance,30460166,Long,,Randwick,-33.9066,151.21441,Entire home/apt,90,90,0,,,2,0,0,
46738250,Modern apartment in SydneyCBD near Darling Harbour,11395646,Aneesha,,Sydney,-33.87459,151.20393,Entire home/apt,315,90,0,,,1,0,0,
46739156,Blue King Suite / A stone's throw to Bondi Beach,375054030,Manager,,Waverley,-33.88865,151.27029,Private room,191,1,8,2021-05-17,0.86,6,364,8,Exempt
46740014,Surf Sanctuary,215462499,Jane,,Pittwater,-33.62549,151.33264,Entire home/apt,930,90,0,,,1,173,0,
46741010,Split Level Heritage 2 Bd Apt in Surry Hills,158105565,Gabrielle,,Sydney,-33.88378,151.21191,Entire home/apt,108,1,22,2021-10-17,2.64,3,45,22,PID-STRA-9897-2
46741413,The Atrium: Spacious Light Filled Terrace!,9951125,Sean,,Sydney,-33.8912,151.19551,Entire home/apt,185,2,38,2021-10-18,3.45,3,177,38,PID-STRA-22581
46741652,Bondi beach pad,10119008,Anneke,,Waverley,-33.88862,151.27006,Private room,150,90,0,,,4,89,0,
46741779,House of trees - Wallis Lodge,100552972,Home Hostess,,Pittwater,-33.64113,151.32187,Entire home/apt,2000,7,0,,,21,0,0,PID-STRA-26254
46742089,Cosy Studio ⛱ 5 min walk to the Sea,25955785,Maude,,Waverley,-33.89019,151.2708,Entire home/apt,185,90,0,,,1,0,0,
46742667,Studio Rushcutters Bay,20741063,Nelson,,Sydney,-33.87578,151.22676,Entire home/apt,70,90,0,,,1,0,0,
46750915,Stunning Opera View Apartment,233421091,Ananda,,North Sydney,-33.85017,151.21766,Entire home/apt,170,90,4,2021-05-02,0.39,1,38,4,
46752751,1B UNIT FOR RENT- NORTH BONDI,18253482,Dani,,Waverley,-33.88156,151.27899,Entire home/apt,114,90,2,2021-01-10,0.19,1,0,2,
46753917,BRITISH CHIC Woollahra Hosted By: L'abode,7409213,L'Abode Accommodation Specialist,,Woollahra,-33.888,151.2465,Entire home/apt,1060,1,1,2021-04-03,0.14,102,290,1,PID-STRA-12156
46754628,Cosy apartment freshwAter,197941709,Meli,,Warringah,-33.77702,151.28777,Entire home/apt,131,90,0,,,1,0,0,
